event,event_date,fighter,opponent,weight_class,style,opp_style,predicted_prob,Odds,implied_prob,betting_edge,bet_size,dk_link,dk_parlay_link
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Israel Adesanya,Joe Pyfer,Middleweight,Mixed,Mixed,0.4957,-155,0.6078,-0.1122,0,,https://sportsbook.draftkings.com/event/33869286?outcomes=0ML84006179_3+0ML83911442_3
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Joe Pyfer,Israel Adesanya,Middleweight,Mixed,Mixed,0.5043,+102,0.495,0.0093,0,,https://sportsbook.draftkings.com/event/33869286?outcomes=0ML84006179_3+0ML83911442_3
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Alexa Grasso,Maycee Barber,Women's Flyweight,Mixed,Muay_Thai,0.3678,+124,0.4464,-0.0786,0,,https://sportsbook.draftkings.com/event/33869286?outcomes=0ML84006179_3+0ML83911442_3
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Maycee Barber,Alexa Grasso,Women's Flyweight,Muay_Thai,Mixed,0.6322,-158,0.6124,0.0198,0,,https://sportsbook.draftkings.com/event/33869286?outcomes=0ML84006179_3+0ML83911442_3
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Michael Chiesa,Niko Price,Welterweight,Mixed,Mixed,0.5948,-850,0.8947,-0.2999,0,,https://sportsbook.draftkings.com/event/33869286?outcomes=0ML84006179_3+0ML83911442_3
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Niko Price,Michael Chiesa,Welterweight,Mixed,Mixed,0.4052,+575,0.1481,0.257,3,https://sportsbook.draftkings.com/event/33869286?outcomes=0ML84006179_3,https://sportsbook.draftkings.com/event/33869286?outcomes=0ML84006179_3+0ML83911442_3
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Terrance McKinney,Kyle Nelson,Lightweight,Mixed,Mixed,0.5596,-150,0.6,-0.0404,0,,https://sportsbook.draftkings.com/event/33869286?outcomes=0ML84006179_3+0ML83911442_3
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Kyle Nelson,Terrance McKinney,Lightweight,Mixed,Mixed,0.4404,+118,0.4587,-0.0184,0,,https://sportsbook.draftkings.com/event/33869286?outcomes=0ML84006179_3+0ML83911442_3
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Casey O'Neill,Gabriella Fernandes,Women's Flyweight,Mixed,Mixed,0.4683,-113,0.5305,-0.0622,0,,https://sportsbook.draftkings.com/event/33869286?outcomes=0ML84006179_3+0ML83911442_3
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Gabriella Fernandes,Casey O'Neill,Women's Flyweight,Mixed,Mixed,0.5317,-113,0.5305,0.0012,0,,https://sportsbook.draftkings.com/event/33869286?outcomes=0ML84006179_3+0ML83911442_3
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Ricky Simon,Adrian Yanez,Bantamweight,Mixed,Striker,0.436,-158,0.6124,-0.1764,0,,https://sportsbook.draftkings.com/event/33869286?outcomes=0ML84006179_3+0ML83911442_3
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Adrian Yanez,Ricky Simon,Bantamweight,Striker,Mixed,0.564,+124,0.4464,0.1176,1,https://sportsbook.draftkings.com/event/33833376?outcomes=0ML83911442_3,https://sportsbook.draftkings.com/event/33869286?outcomes=0ML84006179_3+0ML83911442_3
